age,hr,sv,lvet,dia,pwv,mbp
25,9.1,13.1,23,2.6,0.6,6.2
35,9.1,12.5,23,2.7,0.8,6.1
45,9.0,11.6,23,2.8,0.9,6.1
55,9.1,11.1,23,2.9,1.1,6.0
65,9.0,10.4,23,3.0,1.3,5.9
75,9.0, 9.8,23,3.0,1.6,5.8
