,KL1,KL2,NLL_mcmc,NLL_snf,NLL_diffusion
0,2.607412487207658,3.2560156933834805,-69.19800415039063,-68.28912963867188,-64.84968872070313
1,4.659115712074503,5.227932488456222,-66.8607177734375,-66.41386108398437,-63.6722412109375
2,8.475818980533008,8.898315061357104,-69.8960693359375,-69.8134521484375,-68.37908935546875
3,7.7306666234667025,8.038700634728459,-70.55035400390625,-70.46084594726562,-69.00914916992187
4,4.215123821935613,4.6320314360855415,-71.44243774414062,-70.80982666015625,-67.5902099609375
5,3.212448419339511,3.9281985495475986,-72.1906494140625,-71.08944091796874,-64.830517578125
6,3.8101269861090645,4.152413255776518,-71.64864501953124,-71.127001953125,-69.51695556640625
7,6.1007809037374034,6.272490783935258,-72.82763061523437,-72.49451293945313,-71.74918212890626
8,3.2161092588023696,3.4199325998245285,-70.48065185546875,-68.86588745117187,-65.29547119140625
9,5.748008905018356,6.681548101379767,-70.77486572265624,-70.3763916015625,-67.79134521484374
10,5.099762419090828,5.275108836522898,-70.32752685546875,-69.82265625,-67.35538940429687
11,6.983864091847073,7.449951410817011,-69.95507202148437,-69.78998413085938,-68.49857177734376
12,3.793037877787453,4.606805822408644,-68.8930908203125,-68.34564208984375,-64.32875366210938
13,2.2257961119706096,3.2791239158258305,-71.22059936523438,-70.17302856445312,-66.02163696289062
14,3.0683994046754304,3.4354755994355872,-72.08983764648437,-70.9709716796875,-62.76713256835937
15,5.647686645400443,5.667118780145423,-68.13988647460937,-67.48173828125,-65.77021484375
16,4.374955189720585,4.654299638896136,-68.70686645507813,-67.71847534179688,-67.20706176757812
17,4.864817057778475,5.7143191992599975,-65.40028076171875,-64.95422973632813,-62.75093383789063
18,2.614285369946542,2.808843234457888,-61.9573974609375,-60.683905029296874,-57.892547607421875
19,4.406685739995345,5.196283745438675,-75.0527099609375,-74.30830688476563,-70.6176025390625
20,2.511980261250764,2.6395900219886554,-70.68843383789063,-69.61820068359376,-67.5579833984375
21,1.5879645884010627,2.096400521674157,-72.86107788085937,-70.23469848632813,-62.48271484375
22,6.645517202123738,6.767163930378734,-74.18591918945313,-73.7301025390625,-71.73631591796875
23,4.9458983105374745,5.19409989105677,-72.81268920898438,-72.15855712890625,-70.76256103515625
24,4.974908543181884,5.576675834699798,-71.80216064453126,-71.42345581054687,-67.7320068359375
25,6.646968061601276,7.335601190306583,-66.41891479492188,-66.16659545898438,-64.19901123046876
26,6.834210973029777,7.397766687446823,-73.2050048828125,-73.0753662109375,-70.90383911132812
27,7.256312026692503,8.075359623068003,-69.75084228515625,-69.39909057617187,-67.50103759765625
28,3.394440288753403,4.156921962398922,-68.0452392578125,-67.17131958007812,-59.814813232421876
29,3.933510187758098,5.204211194732307,-67.92713623046875,-67.41721801757812,-63.21834716796875
30,3.7833690925223173,4.617688488605737,-66.05421142578125,-65.55533447265626,-61.6075927734375
31,3.664446956610858,4.2969151624812225,-69.15350341796875,-68.32670288085937,-63.1828125
32,1.74593353615918,1.95099420372129,-71.21144409179688,-68.78009033203125,-63.467535400390624
33,2.367730818707468,2.8695482814523565,-66.41495361328126,-64.68515625,-58.83936767578125
34,7.272303951378784,8.093202317218868,-70.67815551757812,-70.53426513671874,-69.28211059570313
35,6.636762925891209,7.451185206713542,-71.68684692382813,-71.5309814453125,-69.76016235351562
36,7.055932753812082,7.0907244081211385,-72.87708740234375,-72.68613891601562,-71.19930419921874
37,7.466012166410429,7.721135792460339,-73.95234985351563,-73.8898681640625,-73.14092407226562
38,6.708029741387898,7.1031669977535365,-69.34959716796875,-69.17518920898438,-68.26215209960938
39,3.995937533252553,4.996109426796904,-73.10551147460937,-72.47607421875,-65.98250732421874
40,3.916658305573085,4.701154903541454,-76.45164184570312,-75.84893188476562,-71.85820922851562
41,5.337587369058149,6.28746300719979,-64.2566162109375,-63.85733642578125,-61.41469116210938
42,5.195737375747656,5.296034631156228,-73.8076904296875,-73.17500610351563,-70.45704345703125
43,5.8475172731530245,6.529631074967592,-71.4396728515625,-71.16312255859376,-68.67392578125
44,2.9134163571101985,3.1929085267860904,-70.27364501953124,-69.35841674804688,-67.80778198242187
45,7.021609655516594,7.969045665129628,-72.40728759765625,-72.26048583984375,-70.46015014648438
46,4.350188507135636,4.821826601111108,-68.722216796875,-68.28060913085938,-66.96921997070312
47,6.78642403070905,7.052491674847922,-72.28386840820312,-72.010400390625,-70.98533935546875
48,1.732273899120088,2.4136230607163585,-69.75534057617188,-67.95383911132812,-61.77577514648438
49,5.607125791684618,5.99813404501108,-67.74280395507813,-67.31994018554687,-65.89172973632813
50,5.154823343201045,5.368262518739229,-66.36207885742188,-65.664013671875,-64.77347412109376
51,6.737314958956783,6.757743871737464,-74.40364990234374,-74.1330810546875,-73.37941284179688
