,KL2,NLL_mcmc,NLL_diffusion
0,,-71.33897705078125,
1,,-66.72886962890625,
2,,-72.23766479492187,
3,,-66.92705688476562,
4,,-65.93721313476563,
5,,-62.15828857421875,
6,,-70.66526489257812,
7,,-74.55194702148438,
8,,-75.23633422851563,
9,,-70.70343627929688,
